date,category,description,hours
01-01-2024,Study,Freelance Work,5.0
03-01-2024,Relaxation,Grocery Shopping,1.5
10-01-2024,Study,Side Project,4.0
15-01-2024,Study,Utilities Research,2.0
25-01-2024,Study,Consulting Work,6.0
02-02-2024,Relaxation,Dining Out,2.5
12-02-2024,Study,Side Project,4.5
20-02-2024,Relaxation,Reading Books,1.5
05-03-2024,Study,Investment Research,5.0
15-03-2024,Relaxation,Public Transportation Ride,1.0
01-04-2024,Study,Work on Salary Breakdown,7.0
10-04-2024,Relaxation,Entertainment Night,2.0
20-04-2024,Study,Real Estate Project,5.5
02-05-2024,Relaxation,Commuting,1.0
15-05-2024,Study,Freelance Work,4.0
22-05-2024,Relaxation,Grocery Shopping,1.5
05-06-2024,Study,Web Development Project,8.0
18-06-2024,Relaxation,Bill Payments,0.5
01-07-2024,Study,Youtube Content Creation,3.0
10-07-2024,Relaxation,Shopping,2.0
25-07-2024,Study,Investment Analysis,5.5
05-08-2024,Relaxation,Reading a Book,1.0
12-08-2024,Study,Consulting Work,6.0
20-08-2024,Relaxation,Entertainment,2.5
26-08-2024,Study,Side Project,7.0
27-08-2024,Study,Channel Management,5.0
27-09-2024,Relaxation,Time Spent Outdoors,1.0
05-10-2024,Study,Math,12.0
